"FID","survey_id","country","area","ecoregion","realm","location","site_code","site_name","latitude","longitude","survey_date","depth","program","visibility","hour","survey_latitude","survey_longitude","method","block","phylum","class","order","family","species_name","reporting_name","size_class","total","biomass","geom","year","month"
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36e7",912353542,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS238","North Kenn",-21.14,155.75,"2019-12-05",9,"RLS",25,"7:00:00",-21.14,155.75,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",125,1,NA,"POINT (155.75 -21.14)",2019,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36e6",912353540,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS237","Occy Elbow",-20.94,154.4,"2019-12-02",8,"RLS",30,"12:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",125,1,NA,"POINT (154.39999389648438 -20.940000534057617)",2019,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36e5",912353569,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS58","Kenn Reef North Cay bommie",-21.2,155.77,"2019-12-04",11,"RLS",35,"7:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus duboisii","Aipysurus duboisii",75,1,NA,"POINT (155.77000427246094 -21.200000762939453)",2019,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36e4",912353569,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS58","Kenn Reef North Cay bommie",-21.2,155.77,"2019-12-04",11,"RLS",35,"7:00:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",62.5,1,NA,"POINT (155.77000427246094 -21.200000762939453)",2019,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36e3",912353569,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS58","Kenn Reef North Cay bommie",-21.2,155.77,"2019-12-04",11,"RLS",35,"7:00:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",100,1,NA,"POINT (155.77000427246094 -21.200000762939453)",2019,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36e2",912353570,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS59","Kenn Twin Bommies",-21.2,155.77,"2019-12-04",10,"RLS",16,"13:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",87.5,1,NA,"POINT (155.77000427246094 -21.200000762939453)",2019,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36e1",912353573,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS60","Kenn Reef North Cay",-21.2,155.77,"2019-12-04",9,"RLS",35,"9:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",112.5,1,NA,"POINT (155.77000427246094 -21.200000762939453)",2019,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36e0",912353557,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS38","Porpoise Anchorage",-22.19,155.36,"2019-12-08",7,"RLS",35,"9:00:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",87.5,1,NA,"POINT (155.36000061035156 -22.190000534057617)",2019,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36df",912353559,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS39","Porpoise Lagoon",-22.19,155.36,"2019-12-08",2,"RLS",35,"8:00:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",100,1,NA,"POINT (155.36000061035156 -22.190000534057617)",2019,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36de",912353560,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS54","Kenn Reef bommie",-21.25,155.76,"2019-12-06",8,"RLS",35,"10:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",100,1,NA,"POINT (155.75999450683594 -21.25)",2019,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36dd",912353560,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS54","Kenn Reef bommie",-21.25,155.76,"2019-12-06",8,"RLS",35,"10:00:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",100,2,NA,"POINT (155.75999450683594 -21.25)",2019,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36dc",912353561,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS54","Kenn Reef bommie",-21.25,155.76,"2019-12-06",12,"RLS",35,"10:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",62.5,1,NA,"POINT (155.75999450683594 -21.25)",2019,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36db",912353550,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS33","Bird North Bommie",-22.16,155.45,"2019-12-07",5,"RLS",40,"7:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",100,1,NA,"POINT (155.4499969482422 -22.15999984741211)",2019,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36da",912353562,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS55","Kenn Labyrinth",-21.25,155.76,"2019-12-05",4,"RLS",35,"13:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",100,1,NA,"POINT (155.75999450683594 -21.25)",2019,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36d9",912353563,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS55","Kenn Labyrinth",-21.25,155.76,"2019-12-05",5,"RLS",35,"13:00:00",NA,NA,1,1,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",75,1,NA,"POINT (155.75999450683594 -21.25)",2019,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36d8",912353564,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS56","Kenn Reef rubble",-21.25,155.76,"2019-12-06",14,"RLS",30,"7:00:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",162.5,1,NA,"POINT (155.75999450683594 -21.25)",2019,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36d7",912353566,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS57","Kenn Cave",-21.25,155.76,"2019-12-06",9,"RLS",35,"8:00:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Emydocephalus annulatus","Emydocephalus annulatus",75,1,NA,"POINT (155.75999450683594 -21.25)",2019,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36d6",912353567,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS57","Kenn Cave",-21.25,155.76,"2019-12-06",8,"RLS",35,"8:00:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",75,1,NA,"POINT (155.75999450683594 -21.25)",2019,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36d5",912353568,"Australia","Queensland","Coral Sea","Central Indo-Pacific","Coral Sea - South","CS58","Kenn Reef North Cay bommie",-21.2,155.77,"2019-12-04",9,"RLS",35,"7:00:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",100,2,NA,"POINT (155.77000427246094 -21.200000762939453)",2019,12
"ep_m1_public_data.fid-3b25e662_1963ba17013_-36d2",912354269,"Australia","Queensland","Torres Strait Northern Great Barrier Reef","Central Indo-Pacific","West Cape York","GC14","Carpentaria Shoal",-10.74,141.06,"2020-11-01",16.5,"RLS",6,"14:00:00",NA,NA,1,2,"Chordata","Reptilia","Squamata","Elapidae","Aipysurus laevis","Aipysurus laevis",125,1,NA,"POINT (141.05999755859375 -10.739999771118164)",2020,11
