FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_564e,912344279,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Pilbara,NWS108,Old 9 Buoy Reef,-20.21,118.53,2013-10-13,14,RLS,9,8:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,0,1,,POINT (118.52999877929688 -20.209999084472656)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_564f,912344280,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Pilbara,NWS109,Jenny's Reef,-20.29,118.48,2013-10-13,4.5,RLS,4,10:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,0,1,,POINT (118.4800033569336 -20.290000915527344)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5650,912344284,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Pilbara,NWS111,Corneliesse Shoal,-20.03,118.38,2013-10-13,17,RLS,20,16:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,0,1,,POINT (118.37999725341797 -20.030000686645508)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5651,912344285,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Pilbara,NWS111,Corneliesse Shoal,-20.03,118.38,2013-10-13,18,RLS,20,16:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (118.37999725341797 -20.030000686645508)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5652,912344366,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Pilbara,NWS153,Barrow Island deep south,-20.99,115.48,2013-10-28,2,RLS,15,14:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus tenuis,Aipysurus tenuis,62.5,1,,POINT (115.4800033569336 -20.989999771118164)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5653,912344370,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Pilbara,NWS155,Airlie island,-21.32,115.17,2013-10-29,3.5,RLS,12,15:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus tenuis,Aipysurus tenuis,0,1,,POINT (115.16999816894531 -21.31999969482422)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5654,912344370,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Pilbara,NWS155,Airlie island,-21.32,115.17,2013-10-29,3.5,RLS,12,15:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus tenuis,Aipysurus tenuis,0,1,,POINT (115.16999816894531 -21.31999969482422)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5655,912344371,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Pilbara,NWS155,Airlie island,-21.32,115.17,2013-10-29,4,RLS,12,15:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus tenuis,Aipysurus tenuis,0,2,,POINT (115.16999816894531 -21.31999969482422)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5656,912344371,Australia,Western Australia,Exmouth to Broome,Central Indo-Pacific,Pilbara,NWS155,Airlie island,-21.32,115.17,2013-10-29,4,RLS,12,15:00:00,,,2,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus tenuis,Aipysurus tenuis,0,1,,POINT (115.16999816894531 -21.31999969482422)
ep_m2_cryptic_fish_public_data.fid--5e32c652_1963b673aa0_5657,912353540,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS237,Occy Elbow,-20.94,154.4,2019-12-02,8,RLS,30,12:00:00,,,2,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,0,1,,POINT (154.39999389648438 -20.940000534057617)
