FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55b4,912347463,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,GBR - South,GBR152,AIMS-19131S1,-19.77,149.38,2016-02-07,5,RLS,20,14:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,100,1,,POINT (149.3800048828125 -19.770000457763672)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55b5,912347510,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,GBR - North,GBR91,Distant Garden,-11.98,143.65,2016-12-27,6,RLS,10,16:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Caretta caretta,Caretta caretta,187.5,1,,POINT (143.64999389648438 -11.979999542236328)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55b6,912347666,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - Central,CS101,Diamond Cay Islet,-17.41,151.07,2016-11-18,12,RLS,35,8:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Cheloniidae spp.,Cheloniid spp.,100,3,,POINT (151.07000732421875 -17.40999984741211)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55b7,912347669,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - Central,CS225,Magdelaine Vista del Mar,-16.53,150.28,2016-11-19,5,RLS,35,15:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Cheloniidae spp.,Cheloniid spp.,112.5,4,,POINT (150.27999877929688 -16.530000686645508)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55b8,912347672,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - Central,CS145,South Willis islet anchorage bommie,-16.29,149.96,2016-11-21,10,RLS,50,13:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Cheloniidae spp.,Cheloniid spp.,112.5,1,,POINT (149.9600067138672 -16.290000915527344)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55b9,912347673,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - Central,CS144,Willis Islet Dark Wall,-16.29,149.96,2016-11-21,5,RLS,50,15:00:00,-16.29,149.96,0,0,Chordata,Reptilia,Testudines,Cheloniidae,Cheloniidae spp.,Cheloniid spp.,112.5,1,,POINT (149.96 -16.29)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55ba,912347705,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - Central,CS17,SW South West Islet,-16.97,149.9,2017-01-20,7,RLS,40,10:00:00,-16.97,149.9,0,0,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,150,1,,POINT (149.9 -16.97)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55bb,912347751,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - Central,CS5,Paget Cay South East,-19.25,152.35,2017-03-19,4.1,RLS,30,13:00:00,,,0,,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (152.35000610351562 -19.25)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55bc,912347758,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,Capricorn-Bunker,GBR16,Tryon Island south,-23.25,151.77,2017-02-15,8,RLS,20,12:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,100,2,,POINT (151.77000427246094 -23.25)
ep_m0_off_transect_sighting_public_data.fid--5e32c652_1963b673aa0_55bd,912347758,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,Capricorn-Bunker,GBR16,Tryon Island south,-23.25,151.77,2017-02-15,8,RLS,20,12:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,125,1,,POINT (151.77000427246094 -23.25)
