FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m1_public_data.fid-3b25e662_1963ba17013_-3822,912343089,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS19,Cato Wreck,-23.26,155.54,2013-05-17,6,RLS,40,10:00:00,-23.58,155.54,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,50,1,,POINT (155.54 -23.58)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3821,912343089,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS19,Cato Wreck,-23.26,155.54,2013-05-17,6,RLS,40,10:00:00,-23.58,155.54,1,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,50,1,,POINT (155.54 -23.58)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3820,912343091,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS20,Cato Bommies,-23.25,155.53,2013-05-17,10.5,RLS,35,13:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,62.5,1,,POINT (155.52999877929688 -23.25)
ep_m1_public_data.fid-3b25e662_1963ba17013_-381f,912343092,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS21,Cato Lagoon 1,-23.25,155.55,2013-05-17,2.5,RLS,35,9:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,35,1,,POINT (155.5500030517578 -23.25)
ep_m1_public_data.fid-3b25e662_1963ba17013_-381e,912343116,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS33,Bird North Bommie,-22.16,155.45,2013-05-19,6,RLS,40,14:00:00,,,1,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,50,1,,POINT (155.4499969482422 -22.15999984741211)
ep_m1_public_data.fid-3b25e662_1963ba17013_-381d,912343124,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS37,Porpoise NE,-22.19,155.37,2013-05-20,6,RLS,45,14:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (155.3699951171875 -22.190000534057617)
ep_m1_public_data.fid-3b25e662_1963ba17013_-381c,912343102,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS26,Cato East,-23.24,155.56,2013-05-18,6,RLS,35,12:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,62.5,1,,POINT (155.55999755859375 -23.239999771118164)
ep_m1_public_data.fid-3b25e662_1963ba17013_-381b,912343102,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS26,Cato East,-23.24,155.56,2013-05-18,6,RLS,35,12:00:00,,,1,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,50,1,,POINT (155.55999755859375 -23.239999771118164)
ep_m1_public_data.fid-3b25e662_1963ba17013_-381a,912343104,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS27,Cato South East,-23.25,155.57,2013-05-18,15,RLS,40,12:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (155.57000732421875 -23.25)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3819,912343124,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS37,Porpoise NE,-22.19,155.37,2013-05-20,6,RLS,45,14:00:00,,,1,2,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,87.5,1,,POINT (155.3699951171875 -22.190000534057617)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3818,912343125,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS38,Porpoise Anchorage,-22.19,155.36,2013-05-21,9,RLS,40,8:00:00,,,1,1,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,100,1,,POINT (155.36000061035156 -22.190000534057617)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3817,912343126,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS38,Porpoise Anchorage,-22.19,155.36,2013-05-21,5,RLS,45,9:00:00,,,1,1,Chordata,Reptilia,Testudines,Cheloniidae,Natator depressus,Natator depressus,150,1,,POINT (155.36000061035156 -22.190000534057617)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3816,912343127,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS39,Porpoise Lagoon,-22.19,155.36,2013-05-21,3,RLS,35,8:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,75,1,,POINT (155.36000061035156 -22.190000534057617)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3815,912343127,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS39,Porpoise Lagoon,-22.19,155.36,2013-05-21,3,RLS,35,8:00:00,,,1,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,30,1,,POINT (155.36000061035156 -22.190000534057617)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3814,912343128,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS39,Porpoise Lagoon,-22.19,155.36,2013-05-21,2.5,RLS,35,8:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,50,1,,POINT (155.36000061035156 -22.190000534057617)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3813,912343129,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS40,Wreck Reef NE,-22.2,155.3,2013-05-21,7,RLS,40,12:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,40,1,,POINT (155.3000030517578 -22.200000762939453)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3812,912343129,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS40,Wreck Reef NE,-22.2,155.3,2013-05-21,7,RLS,40,12:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,62.5,1,,POINT (155.3000030517578 -22.200000762939453)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3811,912343106,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS28,Cato NE,-23.24,155.56,2013-05-18,10,RLS,30,14:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,40,2,,POINT (155.55999755859375 -23.239999771118164)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3810,912343106,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS28,Cato NE,-23.24,155.56,2013-05-18,10,RLS,30,14:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,62.5,2,,POINT (155.55999755859375 -23.239999771118164)
ep_m1_public_data.fid-3b25e662_1963ba17013_-380f,912343108,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS29,Shag Rock,-22.17,155.48,2013-05-19,4,RLS,40,8:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,75,1,,POINT (155.47999572753906 -22.170000076293945)
ep_m1_public_data.fid-3b25e662_1963ba17013_-380e,912343108,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS29,Shag Rock,-22.17,155.48,2013-05-19,4,RLS,40,8:00:00,,,1,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,75,1,,POINT (155.47999572753906 -22.170000076293945)
ep_m1_public_data.fid-3b25e662_1963ba17013_-380d,912343143,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,Coral Sea - South,CS47,Saumarez egg seasnake,-21.9,153.54,2013-06-02,10,RLS,35,9:00:00,-21.9,153.59,1,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,125,2,,POINT (153.59 -21.9)
ep_m1_public_data.fid-3b25e662_1963ba17013_-380c,912343112,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS31,Bird Lagoon,-22.18,155.47,2013-05-19,3.5,RLS,35,9:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,62.5,1,,POINT (155.47000122070312 -22.18000030517578)
ep_m1_public_data.fid-3b25e662_1963ba17013_-380b,912343112,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS31,Bird Lagoon,-22.18,155.47,2013-05-19,3.5,RLS,35,9:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (155.47000122070312 -22.18000030517578)
ep_m1_public_data.fid-3b25e662_1963ba17013_-380a,912343158,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS54,Kenn Reef bommie,-21.25,155.76,2013-06-04,12,RLS,25,12:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (155.75999450683594 -21.25)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3809,912343133,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS42,Hilton Pool,-22.19,155.18,2013-05-22,3,RLS,35,10:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,112.5,1,,POINT (155.17999267578125 -22.190000534057617)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3808,912343161,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS56,Kenn Reef rubble,-21.25,155.76,2013-06-04,14,RLS,25,15:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (155.75999450683594 -21.25)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3807,912343161,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS56,Kenn Reef rubble,-21.25,155.76,2013-06-04,14,RLS,25,15:00:00,,,1,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (155.75999450683594 -21.25)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3806,912343164,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS57,Kenn Cave,-21.25,155.76,2013-06-04,9.5,RLS,20,15:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,62.5,1,,POINT (155.75999450683594 -21.25)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3805,912343144,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,Coral Sea - South,CS47,Saumarez egg seasnake,-21.9,153.54,2013-06-02,6.5,RLS,35,9:00:00,-21.9,153.59,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (153.59 -21.9)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3804,912343145,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,Coral Sea - South,CS48,Saumarez SW reef cay,-21.9,153.54,2013-06-02,12,RLS,22,12:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,2,,POINT (153.5399932861328 -21.899999618530273)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3803,912343147,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,Coral Sea - South,CS47,Saumarez egg seasnake,-21.9,153.54,2013-06-02,9,RLS,35,12:00:00,-21.9,153.54,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,137.5,3,,POINT (153.54 -21.9)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3802,912343141,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,Coral Sea - South,CS46,Saumarez SW Islet,-21.85,153.52,2013-06-02,14,RLS,25,9:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,250,1,,POINT (153.52000427246094 -21.850000381469727)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3801,912343148,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,Coral Sea - South,CS47,Saumarez egg seasnake,-21.9,153.54,2013-06-02,7,RLS,35,12:00:00,-21.9,153.54,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,112.5,1,,POINT (153.54 -21.9)
ep_m1_public_data.fid-3b25e662_1963ba17013_-3800,912343148,Australia,Queensland,Central and Southern Great Barrier Reef,Central Indo-Pacific,Coral Sea - South,CS47,Saumarez egg seasnake,-21.9,153.54,2013-06-02,7,RLS,35,12:00:00,-21.9,153.54,1,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,75,1,,POINT (153.54 -21.9)
ep_m1_public_data.fid-3b25e662_1963ba17013_-37ff,912343174,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS62,Fredrick Reef north bommie,-20.98,154.39,2013-06-06,14,RLS,40,8:00:00,,,1,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,75,1,,POINT (154.38999938964844 -20.979999542236328)
ep_m1_public_data.fid-3b25e662_1963ba17013_-37fe,912343183,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS67,Frederick Bosom,-21.01,154.38,2013-06-06,3.5,RLS,40,14:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,2,,POINT (154.3800048828125 -21.010000228881836)
ep_m1_public_data.fid-3b25e662_1963ba17013_-37fd,912343186,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS68,Frederick Ridge Rock,-20.98,154.35,2013-06-07,8.5,RLS,35,11:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,75,1,,POINT (154.35000610351562 -20.979999542236328)
ep_m1_public_data.fid-3b25e662_1963ba17013_-37fc,912343187,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS69,Fredrick Reef SW,-20.99,154.35,2013-06-07,10,RLS,40,13:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,100,1,,POINT (154.35000610351562 -20.989999771118164)
ep_m1_public_data.fid-3b25e662_1963ba17013_-37fb,912343188,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS69,Fredrick Reef SW,-20.99,154.35,2013-06-07,13.9,RLS,40,13:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Acalyptophis peronii,Acalyptophis peronii,62.5,1,,POINT (154.35000610351562 -20.989999771118164)
ep_m1_public_data.fid-3b25e662_1963ba17013_-37fa,912343188,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS69,Fredrick Reef SW,-20.99,154.35,2013-06-07,13.9,RLS,40,13:00:00,,,1,2,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,150,1,,POINT (154.35000610351562 -20.989999771118164)
ep_m1_public_data.fid-3b25e662_1963ba17013_-37f9,912343191,Australia,Queensland,Coral Sea,Central Indo-Pacific,Coral Sea - South,CS71,Quay West Bommie,-21.02,154.37,2013-06-08,5.5,RLS,25,8:00:00,,,1,1,Chordata,Reptilia,Squamata,Elapidae,Aipysurus laevis,Aipysurus laevis,87.5,1,,POINT (154.3699951171875 -21.020000457763672)
